chup,chus

utom,utaber

numbat,numbau

rowem,rowep

ɲegɨr,ɲegu
rəgɨr,rogu

arupa,harupwex

echau,echarux
nau,narux

bog,bogəs
yəməg,yəməgəs
ɲirik,ɲɨrɨgəs
berəg,berəgəs

glas,glas
wis,wis
mugas,mugas

ki,kihəs

worɨp,worɨbis

buk,bumep

wab,webøs
əmøkøb,əmøkəbøs
əgəb,agabøs
ohorug,ohøribøs

ɲumina,ɲuminegwix

ruahaip,ruahaigwis

arah,əreh
aham,ehep

mib,mibəhəs

yəriP,yoruweruP

ohuregøl,ohuregyl

ahamit,ehepitog
nokwat,nokwatog

nabep,nabis

atax,hate

ehikau,ehikəs

nugur,nuguguP

urukum,urukwip

ehibør,ehirøb

ohuregør,ohureguP
